,Year,Region,Arrivals_x,Business,Leisure,Medical,Diaspora,Others,Arrivals_y,Mode,Percentage
246,2020,Not Classified Elsewhere,3018.0,16.8,52.4,15.2,5.8,9.8,2744766,Air,79.2
247,2020,Not Classified Elsewhere,3018.0,16.8,52.4,15.2,5.8,9.8,2744766,Sea,1.5
248,2020,Not Classified Elsewhere,3018.0,16.8,52.4,15.2,5.8,9.8,2744766,Land,19.3
249,2020,Grand Total,2744766.0,11.8,58.4,6.8,13.6,9.4,2744766,Air,79.2
250,2020,Grand Total,2744766.0,11.8,58.4,6.8,13.6,9.4,2744766,Sea,1.5
251,2020,Grand Total,2744766.0,11.8,58.4,6.8,13.6,9.4,2744766,Land,19.3
252,2018,North America,351040.0,9.7,64.8,0.9,23.8,0.8,10557976,Air,79.6
253,2018,North America,351040.0,9.7,64.8,0.9,23.8,0.8,10557976,Sea,0.8
254,2018,North America,351040.0,9.7,64.8,0.9,23.8,0.8,10557976,Land,19.6
255,2018,North America,1456678.0,16.9,51.1,1.1,29.9,1.0,10557976,Air,79.6
256,2018,North America,1456678.0,16.9,51.1,1.1,29.9,1.0,10557976,Sea,0.8
257,2018,North America,1456678.0,16.9,51.1,1.1,29.9,1.0,10557976,Land,19.6
258,2018,North America,1807718.0,15.5,53.8,1.1,28.7,0.9,10557976,Air,79.6
259,2018,North America,1807718.0,15.5,53.8,1.1,28.7,0.9,10557976,Sea,0.8
260,2018,North America,1807718.0,15.5,53.8,1.1,28.7,0.9,10557976,Land,19.6
261,2018,Central & South America,16345.0,9.8,87.8,0.2,1.6,0.6,10557976,Air,79.6
262,2018,Central & South America,16345.0,9.8,87.8,0.2,1.6,0.6,10557976,Sea,0.8
263,2018,Central & South America,16345.0,9.8,87.8,0.2,1.6,0.6,10557976,Land,19.6
264,2018,Central & South America,26579.0,27.3,66.2,0.5,4.2,1.8,10557976,Air,79.6
265,2018,Central & South America,26579.0,27.3,66.2,0.5,4.2,1.8,10557976,Sea,0.8
266,2018,Central & South America,26579.0,27.3,66.2,0.5,4.2,1.8,10557976,Land,19.6
267,2018,Central & South America,19909.0,16.3,78.7,0.5,3.3,1.2,10557976,Air,79.6
268,2018,Central & South America,19909.0,16.3,78.7,0.5,3.3,1.2,10557976,Sea,0.8
269,2018,Central & South America,19909.0,16.3,78.7,0.5,3.3,1.2,10557976,Land,19.6
270,2018,Central & South America,38252.0,17.9,69.2,0.9,9.4,2.6,10557976,Air,79.6
271,2018,Central & South America,38252.0,17.9,69.2,0.9,9.4,2.6,10557976,Sea,0.8
272,2018,Central & South America,38252.0,17.9,69.2,0.9,9.4,2.6,10557976,Land,19.6
273,2018,Central & South America,101085.0,18.7,73.3,0.6,5.6,1.8,10557976,Air,79.6
274,2018,Central & South America,101085.0,18.7,73.3,0.6,5.6,1.8,10557976,Sea,0.8
275,2018,Central & South America,101085.0,18.7,73.3,0.6,5.6,1.8,10557976,Land,19.6
276,2018,Western Europe,33200.0,25.8,57.4,0.9,15.1,0.8,10557976,Air,79.6
277,2018,Western Europe,33200.0,25.8,57.4,0.9,15.1,0.8,10557976,Sea,0.8
278,2018,Western Europe,33200.0,25.8,57.4,0.9,15.1,0.8,10557976,Land,19.6
279,2018,Western Europe,44086.0,27.3,56.1,0.7,14.7,1.2,10557976,Air,79.6
280,2018,Western Europe,44086.0,27.3,56.1,0.7,14.7,1.2,10557976,Sea,0.8
281,2018,Western Europe,44086.0,27.3,56.1,0.7,14.7,1.2,10557976,Land,19.6
282,2018,Western Europe,28195.0,35.0,56.3,0.4,7.5,0.8,10557976,Air,79.6
283,2018,Western Europe,28195.0,35.0,56.3,0.4,7.5,0.8,10557976,Sea,0.8
284,2018,Western Europe,28195.0,35.0,56.3,0.4,7.5,0.8,10557976,Land,19.6
285,2018,Western Europe,21239.0,31.1,59.8,0.6,7.5,1.0,10557976,Air,79.6
286,2018,Western Europe,21239.0,31.1,59.8,0.6,7.5,1.0,10557976,Sea,0.8
287,2018,Western Europe,21239.0,31.1,59.8,0.6,7.5,1.0,10557976,Land,19.6
288,2018,Western Europe,261653.0,22.9,66.4,0.5,8.6,1.6,10557976,Air,79.6
289,2018,Western Europe,261653.0,22.9,66.4,0.5,8.6,1.6,10557976,Sea,0.8
290,2018,Western Europe,261653.0,22.9,66.4,0.5,8.6,1.6,10557976,Land,19.6
291,2018,Western Europe,274087.0,31.8,56.5,0.5,10.2,1.0,10557976,Air,79.6
292,2018,Western Europe,274087.0,31.8,56.5,0.5,10.2,1.0,10557976,Sea,0.8
293,2018,Western Europe,274087.0,31.8,56.5,0.5,10.2,1.0,10557976,Land,19.6
